n_height,Xccarb
4800,2.143
4670,2.377
4500,2.008
4330,2.331
4100,2.443
3900,2.253
3350,2.178
3100,2.349
2900,2.822
2700,2.572
2125,2.817
1950,1.947
1830,2.527
1700,1.998
1550,2.52
1450,2.419
1400,2.468
1310,2.303
1200,1.824
1090,1.014
1050,0.666
980,0.792
930,0.087
885,-0.911
875,-0.784
800,-0.964
770,-0.939
710,-1.155
570,-1.657
510,-1.232
375,-0.848
210,-0.626
186,-0.461
110,0.206
71,0.201
48,0.567
39,0.687
30,0.62
23,0.666
16.75,0.921
16.25,0.999
15.75,0.634
15.25,0.392
14.75,0.597
14.25,0.421
13.75,0.354
13.25,0.485
12.75,0.724
12.25,0.824
11.75,0.841
11.25,0.21
10.75,0.994
10.25,0.291
9.75,0.074
9.25,0.743
8.75,1.059
8.25,1.184
7.75,1.082
7.25,0.646
6.75,1.049
6.25,1.077
5.75,0.345
5.25,0.09
4.75,0.181
4.25,0.227
4.25,0.248
3.75,0.608
3.25,0.311
2.75,0.515
2.25,0.351
1.75,0.363
1.25,0.393
0.75,0.241
0.25,0.207
-0.1,0.682
-0.3,0.87
-0.6,0.72
-0.8,0.559
-1,0.656
-1.5,-0.158
-2,-0.225
-2.5,-0.289
-3,-0.301
-3.5,-0.233
-4,-0.42
-4.5,-0.243
-5,-0.191
-5.5,-0.231
-6,-0.258
-6.5,-0.213
-7,-0.596
-8,-0.49
-9,0.39
-10,0.525
-11,0.564
-11,0.54
-11.5,0.48
-11.5,-1.094
-12,-2.402
-12.5,-0.231
-13,-3.328
-13.5,-1.762
-14,-0.178
-14.5,1.673
-15,1.161
-15.5,1.611
-16.5,1.655
-18.5,1.708
-20.5,2.031
-24,0.491
-25,1.307
-29,1.827
-37,2.47
-42,2.3
-51,2.555
-56,2.701
-68,3.017
-73,3.146
-91,3.239
-94,3.551
-107,3.731
-110,3.53
-123,3.616
-173,3.946
-182,3.946
-194,4.067
-236,3.828
-269,4.401
-295,3.276
-307,3.691
-320,3.466
-323,4.309
-326,3.931
-331,4.074
-338,3.829
-344,3.848
-361,3.89
-370,3.334
-374,3.586
-380,4.029
-390,3.658
-395,3.435
-402,3.404
-410,3.252
-418,3.85
-423,3.643
-430,3.427
-437,3.568
-443,4.168
-446,2.908
-462,3.774
-465,3.572
-472,3.824
-478,3.34
-485,3.685
-510,3.897
-520,3.668
-570,3.715
-587,4.206
-600,3.174
-607,3.686
-618,3.444
-625,3.922
-642,2.867
-656,3.861
-672,2.759
-685,3.42
-702,3.373
-709,2.898
-720,3.251
-738,3.486
-750,3.272
-800,3.336
-1010,3.4
-1110,3.2
-1210,3.33
-1310,4.65
-1410,3.45
-1510,4.28
-1610,4.04
-1710,2.65
-1810,3.82
-1910,4.43
-1910,4.36
-1910,4.55
-1910,4.46
-1910,3.56
-1910,3.81
-1910,3.87
-1910,4.14
-1910,4.06
-1910,4.06
-2020,2.95
-2020,3.06
-2110,3.17
-2210,2.77
-2310,2.76
-2400,2.42
-2400,2.54
-2400,2.59
-2520,2.5
-2520,3.05
-2600,3.11
-2710,2.56
-2790,3.23
-2950,3.04
-3110,3.73
-3210,3.34
-3310,3.34
-3410,2.77
-3510,3.35
-3610,2.94
-3610,3.05
-3810,3.28
-3971,3.357
-3997,2.855
-4021,3.236
-4046,3.781
-4074,3.905
-4101,3.608
-4130,3.289
-4157,3.72
-4170,1.96
-4170,1.53
-4170,1.72
-4170,1.37
-4170,1.09
-4170,1.5
-4190,4.076
-4242,3.442
-4274,3.844
-4308,3.483
-4340,3.614
-4365,3.646
-4391,2.693
-4414,3.26
-4446,3.495
-4470,2.934
-4495,2.929
-4521,3.303
-4549,3.417
-4585,2.266
-4611,1.618
-4634,1.242
-4660,-2.194
-4683,-1.696
-4697,-0.259
-4717,0.268
-4742,-0.282
-4817,0.462
