n_height,OCe,
976.00,0.00,
921.00,0.04,
823.00,0.03,
470.00,-0.01,
164.50,-0.18,
124.00,-0.01,
81.50,-0.01,
22.00,-0.20,
54.50,-0.16,
0.00,-0.13,
10.00,-0.19,
-11.00,-0.10,
-166.00,-0.09,
-76.50,-0.14,
-16.50,-0.13,
-339.50,-0.08,
-501.50,-0.08,
-620.00,-0.28,
-880.00,-0.19,
-1100.00,-0.30,
-1124.50,0.09,
-1334.00,-0.24,
-1739.00,-0.26,
-2015.50,-0.30,
-2412.00,0.02,
-2691.50,0.03,
-2981.50,-0.23,
-3221.50,-0.22,
-3409.50,-0.13,
-3634.50,-0.07,
-3721.50,-0.01,
-3767.50,-0.23,
-3900.00,-0.28,
-4610.00,-0.20,
-4265.00,-0.16,
-4320.00,-0.20,
-4375.00,-0.17,
