n_height,XTOC
144,0.9
138,0.92
132,0.98
127,1.15
123,0.76
108,1.05
92,1.05
88,1.13
85,1.18
81,0.95
79,0.31
61,0.69
51,1.21
37,0.95
22,0.79
13,0.44
10,1.44
4,0.72
0,0.76
-3,0.71
-7,0.54
-11,1.68
-17,0.24
-19.2,2.29
-19.8,0.82
-23,1.57
-30,0.5
-44,0.56
-56,2.44
-64,1.05
-72,0.63
-87,0.53
-91,1.63
-99,0.86
-110,0.53
-123,0.34
-135,0.42
-152,0.27
-168,0.48
-182,0.32
-191,2.26
-204,0.29
-247,0.32
-288,0.18
-317,0.34
-337,0.44
-371,0.45
-410,0.31
-441.788,0.23
-498.39,0.59
-620.62,0.19
-806.122,0.12
-980.839,0.1
-1264.125,0.54
-1433.809,0.7
-1653.823,0.21
-1905.473,0.1
-2290.857,0.97
-2307.138,0.32
-2555.574,0.6
-2733.459,0.34
-2819.085,0.31
-2946.921,0.16
-3229.971,1.22
-3530.021,0.55
-3767.171,0.01
-3830.921,0.19
-3981.581,0.6
-4235.781,0.42
-4365.451,0.09
-4500.451,0.06
-4891.451,0.55
-5271.451,3.6
-5421.451,0.04
